# https://kafka.apache.org/documentation/#new_consumer_group_monitoring

commit-latency-avg 	The average time taken for a commit request 	kafka.consumer:type=consumer-coordinator-metrics,client-id=([-.\w]+)
commit-latency-max 	The max time taken for a commit request 	kafka.consumer:type=consumer-coordinator-metrics,client-id=([-.\w]+)
commit-rate 	The number of commit calls per second 	kafka.consumer:type=consumer-coordinator-metrics,client-id=([-.\w]+)
commit-total 	The total number of commit calls 	kafka.consumer:type=consumer-coordinator-metrics,client-id=([-.\w]+)
assigned-partitions 	The number of partitions currently assigned to this consumer 	kafka.consumer:type=consumer-coordinator-metrics,client-id=([-.\w]+)
heartbeat-response-time-max 	The max time taken to receive a response to a heartbeat request 	kafka.consumer:type=consumer-coordinator-metrics,client-id=([-.\w]+)
heartbeat-rate 	The average number of heartbeats per second 	kafka.consumer:type=consumer-coordinator-metrics,client-id=([-.\w]+)
heartbeat-total 	The total number of heartbeats 	kafka.consumer:type=consumer-coordinator-metrics,client-id=([-.\w]+)
join-time-avg 	The average time taken for a group rejoin 	kafka.consumer:type=consumer-coordinator-metrics,client-id=([-.\w]+)
join-time-max 	The max time taken for a group rejoin 	kafka.consumer:type=consumer-coordinator-metrics,client-id=([-.\w]+)
join-rate 	The number of group joins per second 	kafka.consumer:type=consumer-coordinator-metrics,client-id=([-.\w]+)
join-total 	The total number of group joins 	kafka.consumer:type=consumer-coordinator-metrics,client-id=([-.\w]+)
sync-time-avg 	The average time taken for a group sync 	kafka.consumer:type=consumer-coordinator-metrics,client-id=([-.\w]+)
sync-time-max 	The max time taken for a group sync 	kafka.consumer:type=consumer-coordinator-metrics,client-id=([-.\w]+)
sync-rate 	The number of group syncs per second 	kafka.consumer:type=consumer-coordinator-metrics,client-id=([-.\w]+)
sync-total 	The total number of group syncs 	kafka.consumer:type=consumer-coordinator-metrics,client-id=([-.\w]+)
rebalance-latency-avg 	The average time taken for a group rebalance 	kafka.consumer:type=consumer-coordinator-metrics,client-id=([-.\w]+)
rebalance-latency-max 	The max time taken for a group rebalance 	kafka.consumer:type=consumer-coordinator-metrics,client-id=([-.\w]+)
rebalance-latency-total 	The total time taken for group rebalances so far 	kafka.consumer:type=consumer-coordinator-metrics,client-id=([-.\w]+)
rebalance-total 	The total number of group rebalances participated 	kafka.consumer:type=consumer-coordinator-metrics,client-id=([-.\w]+)
rebalance-rate-per-hour 	The number of group rebalance participated per hour 	kafka.consumer:type=consumer-coordinator-metrics,client-id=([-.\w]+)
failed-rebalance-total 	The total number of failed group rebalances 	kafka.consumer:type=consumer-coordinator-metrics,client-id=([-.\w]+)
failed-rebalance-rate-per-hour 	The number of failed group rebalance event per hour 	kafka.consumer:type=consumer-coordinator-metrics,client-id=([-.\w]+)
last-rebalance-seconds-ago 	The number of seconds since the last rebalance event 	kafka.consumer:type=consumer-coordinator-metrics,client-id=([-.\w]+)
last-heartbeat-seconds-ago 	The number of seconds since the last controller heartbeat 	kafka.consumer:type=consumer-coordinator-metrics,client-id=([-.\w]+)
partitions-revoked-latency-avg 	The average time taken by the on-partitions-revoked rebalance listener callback 	kafka.consumer:type=consumer-coordinator-metrics,client-id=([-.\w]+)
partitions-revoked-latency-max 	The max time taken by the on-partitions-revoked rebalance listener callback 	kafka.consumer:type=consumer-coordinator-metrics,client-id=([-.\w]+)
partitions-assigned-latency-avg 	The average time taken by the on-partitions-assigned rebalance listener callback 	kafka.consumer:type=consumer-coordinator-metrics,client-id=([-.\w]+)
partitions-assigned-latency-max 	The max time taken by the on-partitions-assigned rebalance listener callback 	kafka.consumer:type=consumer-coordinator-metrics,client-id=([-.\w]+)
partitions-lost-latency-avg 	The average time taken by the on-partitions-lost rebalance listener callback 	kafka.consumer:type=consumer-coordinator-metrics,client-id=([-.\w]+)
partitions-lost-latency-max 	The max time taken by the on-partitions-lost rebalance listener callback 	kafka.consumer:type=consumer-coordinator-metrics,client-id=([-.\w]+)
