# https://kafka.apache.org/documentation/#kafka_streams_thread_monitoring

commit-latency-avg 	The average execution time in ms, for committing, across all running tasks of this thread. 	kafka.streams:type=stream-thread-metrics,thread-id=([-.\w]+)
commit-latency-max 	The maximum execution time in ms, for committing, across all running tasks of this thread. 	kafka.streams:type=stream-thread-metrics,thread-id=([-.\w]+)
poll-latency-avg 	The average execution time in ms, for consumer polling. 	kafka.streams:type=stream-thread-metrics,thread-id=([-.\w]+)
poll-latency-max 	The maximum execution time in ms, for consumer polling. 	kafka.streams:type=stream-thread-metrics,thread-id=([-.\w]+)
process-latency-avg 	The average execution time in ms, for processing. 	kafka.streams:type=stream-thread-metrics,thread-id=([-.\w]+)
process-latency-max 	The maximum execution time in ms, for processing. 	kafka.streams:type=stream-thread-metrics,thread-id=([-.\w]+)
punctuate-latency-avg 	The average execution time in ms, for punctuating. 	kafka.streams:type=stream-thread-metrics,thread-id=([-.\w]+)
punctuate-latency-max 	The maximum execution time in ms, for punctuating. 	kafka.streams:type=stream-thread-metrics,thread-id=([-.\w]+)
commit-rate 	The average number of commits per second. 	kafka.streams:type=stream-thread-metrics,thread-id=([-.\w]+)
commit-total 	The total number of commit calls. 	kafka.streams:type=stream-thread-metrics,thread-id=([-.\w]+)
poll-rate 	The average number of consumer poll calls per second. 	kafka.streams:type=stream-thread-metrics,thread-id=([-.\w]+)
poll-total 	The total number of consumer poll calls. 	kafka.streams:type=stream-thread-metrics,thread-id=([-.\w]+)
process-rate 	The average number of processed records per second. 	kafka.streams:type=stream-thread-metrics,thread-id=([-.\w]+)
process-total 	The total number of processed records. 	kafka.streams:type=stream-thread-metrics,thread-id=([-.\w]+)
punctuate-rate 	The average number of punctuate calls per second. 	kafka.streams:type=stream-thread-metrics,thread-id=([-.\w]+)
punctuate-total 	The total number of punctuate calls. 	kafka.streams:type=stream-thread-metrics,thread-id=([-.\w]+)
task-created-rate 	The average number of tasks created per second. 	kafka.streams:type=stream-thread-metrics,thread-id=([-.\w]+)
task-created-total 	The total number of tasks created. 	kafka.streams:type=stream-thread-metrics,thread-id=([-.\w]+)
task-closed-rate 	The average number of tasks closed per second. 	kafka.streams:type=stream-thread-metrics,thread-id=([-.\w]+)
task-closed-total 	The total number of tasks closed. 	kafka.streams:type=stream-thread-metrics,thread-id=([-.\w]+)
